LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
27m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Readiness probe failed: Get "http://10.42.0.195:8081/api/health": dial tcp 10.42.0.195:8081: connect: connection refused
27m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-c8hjz         Readiness probe failed: Get "http://10.42.0.174:8081/api/health": dial tcp 10.42.0.174:8081: connect: connection refused
26m         Warning   Unhealthy                      pod/life-assistant-merchant-service-c864547b8-vdbst          Liveness probe failed: Get "http://10.42.0.196:8081/api/health": dial tcp 10.42.0.196:8081: connect: connection refused
26m         Warning   Unhealthy                      pod/life-assistant-merchant-service-c864547b8-vdbst          Readiness probe failed: Get "http://10.42.0.196:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
26m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled up replica set life-assistant-user-service-5c79b6c75c from 0 to 1
26m         Normal    Killing                        pod/life-assistant-user-service-798dd7779f-q5jcg             Stopping container user-service
26m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-5c79b6c75c            Created pod: life-assistant-user-service-5c79b6c75c-wzrr8
26m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-798dd7779f from 1 to 0
26m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-798dd7779f            Deleted pod: life-assistant-user-service-798dd7779f-q5jcg
26m         Normal    Pulling                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
26m         Normal    Created                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Container created
26m         Normal    Started                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Container started
26m         Normal    Pulled                         pod/life-assistant-user-service-5c79b6c75c-wzrr8             Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 8.269s (8.269s including waiting). Image size: 180052710 bytes.
25m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-q5jcg             Readiness probe failed: Get "http://10.42.0.175:8082/api/health": dial tcp 10.42.0.175:8082: connect: connection refused
25m         Warning   Unhealthy                      pod/life-assistant-user-service-5c79b6c75c-wzrr8             Liveness probe failed: Get "http://10.42.0.197:8082/api/health": dial tcp 10.42.0.197:8082: connect: connection refused
25m         Warning   Unhealthy                      pod/life-assistant-frontend-69567b8ddc-xb42j                 Readiness probe failed: wget: server returned error: HTTP/1.1 503 Service Unavailable
24m         Warning   Unhealthy                      pod/life-assistant-user-service-5c79b6c75c-wzrr8             Readiness probe failed: Get "http://10.42.0.197:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
24m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled up replica set life-assistant-order-service-5c75679647 from 0 to 1
24m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-mnb58
24m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-mnb58            Stopping container order-service
24m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 1 to 0
24m         Warning   Unhealthy                      pod/life-assistant-frontend-69567b8ddc-xb42j                 Readiness probe failed: command timed out: "sh -c wget -q -O - http://127.0.0.1/api/health | grep -q '\"code\":200'" timed out after 3s
24m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-5c75679647           Created pod: life-assistant-order-service-5c75679647-mngdh
24m         Normal    Pulling                        pod/life-assistant-order-service-5c75679647-mngdh            Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
24m         Normal    Pulled                         pod/life-assistant-order-service-5c75679647-mngdh            Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 7.809s (7.809s including waiting). Image size: 179899981 bytes.
24m         Normal    Started                        pod/life-assistant-order-service-5c75679647-mngdh            Container started
24m         Normal    Created                        pod/life-assistant-order-service-5c75679647-mngdh            Container created
